t(s),x(m),y(m),z(m),roll(deg),pitch(deg),yaw(deg)
0,0.599214325,-3.877638444,3.666114093,39.84875767,4.532458788,27.64457231
0.01,0.591303815,-3.854317608,3.66722183,38.95736952,3.74176011,28.73514424
0.02,0.583367236,-3.831587044,3.668093761,37.8440591,3.005495101,29.67441385
0.03,0.575195555,-3.809269631,3.668119649,36.61624252,2.454256401,30.30487833
0.04,0.566535987,-3.786663,3.666727717,35.68294679,2.25840562,30.58352822
0.05,0.557387584,-3.763458714,3.664213725,35.39214996,2.489547135,30.70894257
0.06,0.548012286,-3.740123885,3.661848566,35.69842015,3.014589275,31.02169601
0.07,0.538581297,-3.717271725,3.660842492,36.17841367,3.551297298,31.68951557
0.08,0.52890651,-3.694884253,3.661140154,36.36221876,3.86816082,32.50733005
0.09,0.51865972,-3.672393386,3.661377528,36.08115668,3.961500282,33.08908224
0.1,0.507859448,-3.649444598,3.660147423,35.57307173,4.044882621,33.29629489
0.11,0.497000633,-3.626298605,3.657323739,35.30719646,4.3521742,33.43581802
0.12,0.486579456,-3.603401642,3.654141772,35.65788899,4.930023757,33.97171809
0.13,0.476500338,-3.580800778,3.65201866,36.61310892,5.608874865,35.02705557
0.14,0.466046002,-3.558209436,3.651295055,37.71361459,6.179477208,36.20086002
0.15,0.454490908,-3.535541672,3.651023427,38.34392078,6.614245177,36.90488433
0.16,0.441741001,-3.513079891,3.64987102,38.24146718,7.126363483,36.88925356
0.17,0.428375764,-3.491029073,3.64727321,37.79599108,7.994224345,36.45286706
0.18,0.41511106,-3.469150877,3.643901513,37.75939383,9.285304448,36.17319737
0.19,0.402247553,-3.447079767,3.641139008,38.51955304,10.72118027,36.44615944
0.2,0.389577539,-3.424911502,3.639995176,39.63360591,11.83035461,37.2443279
0.21,0.37670608,-3.403181086,3.640282744,40.18410418,12.29501777,38.23666908
0.22,0.363396998,-3.382149885,3.640715269,39.6955087,12.21339538,39.08904473
0.23,0.349659113,-3.361331871,3.639912082,38.68243823,12.05112539,39.67525486
0.24,0.335608681,-3.339978059,3.637532589,38.20796198,12.31266587,40.07749762
0.25,0.321318682,-3.318006474,3.634568745,38.85987055,13.19048516,40.44889148
0.26,0.306793898,-3.296224877,3.632507886,40.18277178,14.4431867,40.88730208
0.27,0.292044766,-3.275519456,3.632092865,41.12518745,15.55697199,41.40835561
0.28,0.277143189,-3.255936728,3.632768885,41.01639139,16.06638425,41.99086238
0.29,0.262180975,-3.236689803,3.633239554,40.11842342,15.86066965,42.60866695
0.3,0.24716432,-3.217001512,3.632545653,39.31930622,15.31489558,43.21054583
0.31,0.231962858,-3.196799058,3.630725704,39.36123944,15.11274811,43.7040566
0.32,0.216396123,-3.176621295,3.628639737,40.28233299,15.76802485,44.01433526
0.33,0.200397196,-3.15706372,3.627266571,41.41524947,17.13961249,44.18505159
0.34,0.184091645,-3.138407422,3.627043952,41.85720421,18.40675479,44.39409692
0.35,0.167704631,-3.120570606,3.627614347,41.12368851,18.68514944,44.82350244
0.36,0.151391907,-3.103120968,3.62806612,39.60552828,17.83006259,45.50296048
0.37,0.135160762,-3.085346543,3.627566358,38.42085616,16.64389126,46.30696592
0.38,0.118916296,-3.066681079,3.626037631,38.56029353,16.18487576,47.11268588
0.39,0.102518474,-3.047381505,3.624330688,39.90094939,16.7887071,47.91792874
0.4,0.085777431,-3.028696339,3.623579682,41.06385891,17.77885695,48.76183327
0.41,0.068474873,-3.011970752,3.624155052,40.5008699,18.17248532,49.55981217
0.42,0.05050687,-2.99731532,3.625183399,37.94971073,17.6613912,50.10896916
0.43,0.032038912,-2.983245794,3.625228726,34.81963432,16.88250296,50.31674885
0.44,0.013441609,-2.967891846,3.623607708,33.00455812,16.76443762,50.38969216
0.45,-0.005016699,-2.950678399,3.621081951,33.22291253,17.66507404,50.71399558
0.46,-0.023415747,-2.932761794,3.619200084,34.50592697,19.1185229,51.51191066
0.47,-0.042068649,-2.915788595,3.618884971,35.26730066,20.30681531,52.64067395
0.48,-0.061156697,-2.900326842,3.619612146,34.78022514,20.71914195,53.74959775
0.49,-0.080543397,-2.885577088,3.61993298,33.60738981,20.46368318,54.60593339
0.5,-0.099986553,-2.87047715,3.618800333,32.76703833,20.12066716,55.23971509
0.51,-0.119461975,-2.854848282,3.616460151,32.69057899,20.32456015,55.81487513
0.52,-0.139170943,-2.839395824,3.614168867,33.00033011,21.3110399,56.44916594
0.53,-0.159233131,-2.824783716,3.613080522,33.08585085,22.6831983,57.18531399
0.54,-0.179502813,-2.810932092,3.613293928,32.70251731,23.64610548,58.04940392
0.55,-0.199783901,-2.797218414,3.613809363,32.05371652,23.67377871,59.02828942
0.56,-0.220154383,-2.783178389,3.613367181,31.49463963,23.07757194,59.98943477
0.57,-0.240919022,-2.76889912,3.611479342,31.25821681,22.83410805,60.73147237
0.58,-0.262196873,-2.754826301,3.608847043,31.36096263,23.68270431,61.19846514
0.59,-0.283685685,-2.741343835,3.606819881,31.61863222,25.3480019,61.6085448
0.6,-0.304972601,-2.728537576,3.606290484,31.74629858,26.75192403,62.27226913
0.61,-0.326048461,-2.716209371,3.606913834,31.56820379,27.06939511,63.25041023
0.62,-0.347364857,-2.704013288,3.607348515,31.20896623,26.53914105,64.25339301
0.63,-0.369316438,-2.691655421,3.606385138,31.02601166,26.18837857,64.94018642
0.64,-0.391767101,-2.679124153,3.604014995,31.26585594,26.81381826,65.29434386
0.65,-0.414204177,-2.666784986,3.60147213,31.77990951,28.30639969,65.64189038
0.66,-0.436321537,-2.655158704,3.600166856,32.13182823,29.90393421,66.29386528
0.67,-0.458309049,-2.644486052,3.600447724,32.00365262,30.91948012,67.23454048
0.68,-0.48053487,-2.634479211,3.601310345,31.47094451,31.17118225,68.19484984
0.69,-0.503091317,-2.624550852,3.601308805,30.88580595,30.92061947,68.9719743
0.7,-0.525793073,-2.614338744,3.599822554,30.55016185,30.66467362,69.59412984
0.71,-0.548542381,-2.604024174,3.597533166,30.52761099,30.96451158,70.18618286
0.72,-0.571463452,-2.594146359,3.595735209,30.69382018,32.1356008,70.78633055
0.73,-0.594581435,-2.585118527,3.595181903,30.85939987,33.82743594,71.37130597
0.74,-0.617560345,-2.576910704,3.595525588,30.83942513,35.03221176,71.99993482
0.75,-0.640040826,-2.569142919,3.595766626,30.5203662,34.89902036,72.79863399
0.76,-0.66229238,-2.561419547,3.595161362,29.96150269,33.75011989,73.75727198
0.77,-0.685294903,-2.55356513,3.593704775,29.4071178,33.10590486,74.62718526
0.78,-0.709899516,-2.545604764,3.591854707,29.10155696,34.3704277,75.13231608
0.79,-0.735854556,-2.537610387,3.589960738,29.04918998,37.37790573,75.29048431
